1 Ephemeral Wisp (Set1 #84)
1 Valorous Stranger (Set1 #145)
2 Hooru Banner (Set2 #216)
2 Eilyn's Choice (Set2 #220)
4 Seat of Impulse (Set0 #54)
2 Forsworn Stranger (Set1 #416)
5 Finest Hour (Set1 #130)
2 Crownwatch Longsword (Set1 #142)
4 Vara's Favor (Set0 #35)
4 Lethrai Ranger (Set1 #270)
4 Seat of Chaos (Set0 #60)
4 Diplomatic Seal (Set1 #425)
1 Predatory Carnosaur (Set1 #118)
1 Madness (Set1 #267)
4 Initiate of the Sands (Set1 #74)
2 Trail Runner (Set2 #39)
1 Backlash (Set1 #200)
4 Triumphant Stranger (Set1002 #21)
1 Devour (Set1 #261)
4 Vision of Austerity (Set1002 #17)
2 Audacious Bandit (Set2 #17)
2 Smuggler's Stash (Set1 #396)
4 Skycrag Banner (Set2 #186)
4 Horus Traver (Set1002 #23)
2 Ruin (Set1 #15)
1 Talon Dive (Set2 #112)
"1 Talir, Who Sees Beyond (Set1 #124)"
2 Aerialist Trainer (Set2 #219)
1 Thunderhoof Warrior (Set2 #25)
2 Levitate (Set1 #190)
23 Time Sigil (Set1 #63)
3 Sandglass Sentinel (Set2 #184)
4 Praxis Outlaw (Set1001 #1)
4 Devoted Theurge (Set1002 #6)
1 Cult Aspirant (Set2 #35)
1 Burning Glaive (Set2 #33)
4 Censari Brigand (Set1 #34)
2 Swindle (Set2 #129)
1 Sauropod Wrangler (Set1 #83)
1 Pit Fighter (Set2 #27)
2 Weather the Storm (Set2 #106)
2 Strength of Many (Set2 #73)
2 Xenan Cupbearer (Set2 #210)
4 Find the Way (Set1 #513)
1 Direwood Rampager (Set1 #301)
4 Copperhall Paladin (Set1002 #7)
4 Lurking Sanguar (Set1 #293)
1 Skycrag Stranger (Set2 #250)
2 Direwood Prowler (Set2 #166)
4 South-Wind Herald (Set1002 #10)
4 Cabal Spymaster (Set1001 #14)
21 Fire Sigil (Set1 #1)
4 Seat of Fury (Set0 #53)
4 Dark Return (Set1 #250)
1 Valkyrie Militant (Set2 #89)
1 Shatterglass Mage (Set2 #181)
4 Polymorph (Set1 #211)
4 Yetipult (Set1002 #11)
4 Seek Power (Set1 #408)
1 Crownwatch Squire (Set2 #69)
3 Deathstrike (Set1 #290)
4 Oni Ronin (Set1 #13)
2 Crystallize (Set1 #232)
2 Plague (Set1 #274)
3 Shield Bash (Set2 #224)
3 Pummel (Set2 #6)
2 Clan Hero (Set2 #190)
6 Praxis Banner (Set2 #171)
4 Seat of Glory (Set0 #56)
4 Permafrost (Set1 #193)
4 Waker of Ancients (Set1002 #16)
3 Serpent Trainer (Set1 #219)
2 Beastcaller's Amulet (Set1 #282)
5 Purify (Set2 #176)
4 Sword of Icaria (Set1 #315)
3 Dustblind (Set2 #19)
1 Cirso's Meddling (Set2 #132)
2 Skeeter (Set2 #150)
4 Longshot Marksman (Set2 #142)
4 Bait (Set1001 #2)
2 Decay (Set1 #95)
4 Twinstrike Master (Set1002 #8)
1 Copperhall Cudgel (Set2 #78)
1 Fallen Oni (Set2 #138)
1 Unlock Potential (Set1 #76)
4 Minotaur Grunt (Set1 #137)
4 Combrei Banner (Set1 #424)
4 Static Bolt (Set1 #194)
1 Scavenging Vulture (Set1 #265)
4 Crimson Firemaw (Set1002 #3)
2 Suffocate (Set1 #251)
1 Humbug Swarm (Set2 #60)
2 Yeti Snowchucker (Set2 #113)
1 Elysian Stranger (Set1 #412)
2 Araktodon (Set1 #238)
2 Minotaur Oathkeeper (Set2 #70)
1 Amaran Archaeologist (Set2 #56)
3 Slay (Set2 #236)
2 Copperhall Shieldman (Set2 #79)
1 Marisen's Disciple (Set1 #104)
2 Trailblaze (Set2 #111)
4 Feln Banner (Set1 #417)
4 Execute (Set1 #277)
1 Hidden Shiv (Set2 #4)
4 Power Stone (Set1002 #4)
2 Dragonbreath (Set2 #108)
2 Twilight Raptor (Set1 #379)
4 Torch (Set1 #8)
2 Emerald Ring (Set2 #80)
1 Blind Storyteller (Set1 #192)
1 Threaten (Set2 #145)
4 Shogun's Scepter (Set1 #26)
1 Spirit Guide (Set2 #83)
1 Copperhall Recruit (Set1 #158)
4 Sparkbot (Set2 #13)
1 Memory Dredger (Set2 #159)
4 Towertop Patrol (Set1 #101)
3 Detain (Set1 #133)
1 Second Sight (Set1 #207)
1 Cabal Recruiter (Set1 #283)
1 Sorrow's Shroud (Set2 #151)
1 Champion of Impulse (Set2 #173)
1 Outlands Brute (Set2 #18)
2 Accelerated Evolution (Set1 #351)
4 Cliffside Porter (Set1001 #7)
3 Champion of Glory (Set1 #314)
4 Champion of Chaos (Set1 #402)
1 Towering Terrazon (Set1 #114)
4 Avisaur Patriarch (Set1001 #13)
1 Combrei Magister (Set1 #160)
1 Deranged Dinomancer (Set1 #223)
"1 Cirso, the Great Glutton (Set1 #362)"
4 Tyrannize (Set1001 #8)
1 Blinkwolf (Set2 #7)
1 Kaleb's Choice (Set2 #188)
1 Talir's Choice (Set2 #180)
1 Hero of the People (Set1 #156)
1 Young Gun (Set2 #3)
1 Serpent Mount (Set2 #124)
4 Sadistic Valkyrie (Set1002 #14)
1 Twinning Ritual (Set1 #79)
2 Scaly Gruan (Set1 #215)
3 False Prince (Set1 #356)
2 Horsesnatcher Bat (Set1 #304)
4 Praxis Displacer (Set1 #100)
4 Dueling Pistols (Set1002 #15)
1 Aid of the Hooru (Set2 #230)
1 Jarrall's Frostkin (Set1 #220)
2 Feln Stranger (Set1 #409)
2 Brilliant Discovery (Set2 #177)
4 Rally (Set1 #33)
4 Grenadin Drone (Set1 #5)
4 Auric Bully (Set2 #232)
1 Streetwise Informant (Set2 #240)
22 Shadow Sigil (Set1 #249)
1 Obliterate (Set1 #48)
4 Stonescar Banner (Set1 #419)
1 Combrei Stranger (Set1 #410)
4 Copperhall Bailiff (Set1001 #5)
1 Viper's Bite (Set2 #55)
20 Justice Sigil (Set1 #126)
4 Kaleb's Favor (Set0 #3)
4 Pyroknight (Set1 #16)
4 Bandit Queen (Set1 #389)
1 Skysnapper (Set1 #208)
"1 Kaleb, Uncrowned Prince (Set1 #61)"
4 Nictotraxian (Set1001 #16)
1 Xenan Destroyer (Set1 #281)
4 Elysian Banner (Set1 #421)
1 Bereaved Stranger (Set2 #241)
2 Xenan Obelisk (Set1 #103)
2 Lethrai Nightblade (Set1 #279)
3 Trickster's Cloak (Set1 #369)
4 Dilphex Stalker (Set1002 #5)
1 Storm Glider (Set2 #195)
4 Amber Acolyte (Set1 #93)
3 Frontier Jito (Set1 #9)
1 Swift Stranger (Set2 #24)
1 Valkyrie Denouncer (Set2 #244)
1 Decimate (Set2 #200)
2 Talon of Nostrix (Set2 #74)
4 Desert Marshal (Set1 #332)
3 Camp Physician (Set2 #52)
4 Auric Interrogator (Set1002 #13)
3 Journeyman Armorer (Set2 #175)
1 West-Wind Herald (Set1 #231)
4 Crownwatch Paladin (Set1 #139)
3 Valkyrie Enforcer (Set1 #151)
4 Hibernating Behemoth (Set1001 #4)
4 Herald's Song (Set1 #196)
2 Rockslide (Set2 #189)
1 Hipshot (Set2 #11)
4 Unexpected Results (Set1002 #19)
1 Rise to the Challenge (Set1 #320)
1 Excavation Assistant (Set2 #37)
2 Reunite (Set2 #249)
2 Sanctuary Priest (Set1 #73)
4 Sand Viper (Set2 #42)
4 Seat of Wisdom (Set0 #63)
2 Striped Araktodon (Set2 #54)
1 Runic Revolver (Set1 #404)
3 Rebuke (Set1 #141)
2 Feeding Time (Set1 #381)
1 Calderan Cradle (Set2 #192)
3 Cannonbearer (Set2 #31)
2 Dormant Sentinel (Set1 #120)
4 Lightning Strike (Set1 #197)
2 Ravenous Thornbeast (Set1 #278)
4 Argenport Banner (Set2 #231)
4 Auric Sentry (Set1 #146)
1 Minotaur Lighthoof (Set2 #163)
4 Hone (Set1001 #6)
4 Scorpion Wasp (Set1 #96)
4 Protect (Set1 #132)
1 Voyaging Lumen (Set2 #66)
1 Cabal Countess (Set1 #506)
4 Passage of Eons (Set1001 #3)
1 Stalwart Shield (Set1 #162)
1 Pouncing Drake (Set2 #28)
1 Staff of Stories (Set1 #234)
3 Lethrai Memory-Keeper (Set2 #149)
"1 Obrak, the Feaster (Set2 #164)"
1 Iceknuckle Jotun (Set2 #133)
2 Bloodcall Invocation (Set2 #203)
2 Annihilate (Set1 #269)
3 Tranquil Scholar (Set2 #76)
4 Cinder Yeti (Set1002 #1)
1 Soaring Stranger (Set1 #229)
2 Furnace Mage (Set1 #40)
4 Rakano Banner (Set1 #427)
2 Champion of Cunning (Set1 #371)
1 Crafty Yeti (Set2 #116)
1 Eye of Winter (Set1 #210)
4 Combrei Emissary (Set1001 #12)
1 Cloudsnake Hatchling (Set2 #103)
2 Lethrai Falchion (Set1 #285)
1 Steadfast Deputy (Set1 #504)
1 Determined Stranger (Set1 #92)
1 Haunting Scream (Set1 #374)
1 Secret Pages (Set1 #81)
4 Champion of Fury (Set2 #187)
